topic_id,count,name,keywords,scores
86,3196,86_vocation_vocations_choose_choice,"vocation, vocations, choose, choice, what, interest, illusion, indicate, skills, ur","0.0356, 0.0147, 0.0076, 0.0068, 0.0062, 0.0059, 0.0049, 0.0044, 0.0040, 0.0038"
87,1862,87_5sir_sir_2sir_1sir,"5sir, sir, 2sir, 1sir, 3sir, msc, stingray, bro, mono, bravo","0.0657, 0.0174, 0.0134, 0.0134, 0.0114, 0.0083, 0.0071, 0.0049, 0.0047, 0.0047"
88,1217,88_mob_manning_activated_activation,"mob, manning, activated, activation, period, briefing, mobilisation, call, pack, unit","0.0857, 0.0832, 0.0205, 0.0163, 0.0117, 0.0113, 0.0105, 0.0085, 0.0080, 0.0080"
90,1189,90_tattoo_tattoos_visible_piercing,"tattoo, tattoos, visible, piercing, piercings, spf, scdf, declare, mp, ear","0.0684, 0.0596, 0.0145, 0.0109, 0.0097, 0.0082, 0.0079, 0.0075, 0.0056, 0.0055"
91,1576,91_atp_shoot_marksman_target,"atp, shoot, marksman, target, firing, btp, rounds, shooting, rifle, range","0.0401, 0.0337, 0.0231, 0.0178, 0.0148, 0.0125, 0.0120, 0.0117, 0.0112, 0.0112"
92,3338,92_bmt_recourse_ffi_rebmt,"bmt, recourse, ffi, rebmt, oot, mc, re, unit, mo, will","0.0202, 0.0183, 0.0127, 0.0126, 0.0086, 0.0074, 0.0061, 0.0058, 0.0050, 0.0046"
93,2347,93_sign_signing_on_money,"sign, signing, on, money, signed, job, want, regulars, you, contract","0.0307, 0.0184, 0.0096, 0.0053, 0.0051, 0.0050, 0.0048, 0.0048, 0.0046, 0.0043"
95,1130,95_glasses_spectacles_claim_specs,"glasses, spectacles, claim, specs, black, receipt, frame, spectacle, lenses, plastic","0.0492, 0.0457, 0.0323, 0.0287, 0.0269, 0.0212, 0.0207, 0.0201, 0.0178, 0.0171"
96,6287,96_commanders_commander_men_them,"commanders, commander, men, them, platoon, sergeant, he, respect, their, rank","0.0093, 0.0067, 0.0055, 0.0053, 0.0052, 0.0045, 0.0044, 0.0042, 0.0041, 0.0040"
98,2308,98_bunk_bunkmate_bunkmates_bed,"bunk, bunkmate, bunkmates, bed, his, him, he, blanket, mates, buddy","0.0300, 0.0129, 0.0123, 0.0108, 0.0097, 0.0089, 0.0085, 0.0079, 0.0056, 0.0056"
99,1473,99_emt_paramedic_scdf_ambulance,"emt, paramedic, scdf, ambulance, paramedics, ems, station, medic, fire, emts","0.0465, 0.0302, 0.0149, 0.0142, 0.0128, 0.0095, 0.0087, 0.0079, 0.0076, 0.0076"
100,1153,100_11b_lost_ic_report,"11b, lost, ic, report, police, axs, nric, card, sticker, replacement","0.0716, 0.0202, 0.0171, 0.0126, 0.0119, 0.0118, 0.0114, 0.0109, 0.0109, 0.0090"
101,1197,101_permit_exit_overseas_apply,"permit, exit, overseas, apply, visa, bond, sg, approved, permits, nsmen","0.0753, 0.0736, 0.0225, 0.0128, 0.0073, 0.0072, 0.0066, 0.0059, 0.0057, 0.0055"
102,1949,102_chinese_malay_english_language,"chinese, malay, english, language, speak, accent, racist, indian, mandarin, singlish","0.0263, 0.0206, 0.0178, 0.0103, 0.0094, 0.0093, 0.0091, 0.0091, 0.0087, 0.0082"
103,1930,103_wash_washing_clothes_detergent,"wash, washing, clothes, detergent, laundry, dry, machine, clean, smell, soak","0.0557, 0.0342, 0.0297, 0.0207, 0.0200, 0.0185, 0.0145, 0.0125, 0.0111, 0.0110"
104,2874,104_imh_psychiatrist_mental_mo,"imh, psychiatrist, mental, mo, health, private, memo, referral, psychologist, help","0.0347, 0.0242, 0.0116, 0.0111, 0.0091, 0.0084, 0.0079, 0.0066, 0.0066, 0.0065"
105,1977,105_save_savings_money_spend,"save, savings, money, spend, saved, saving, allowance, spending, month, afford","0.0256, 0.0180, 0.0173, 0.0117, 0.0111, 0.0092, 0.0092, 0.0090, 0.0079, 0.0079"
106,1180,106_species_wild_cat_cats,"species, wild, cat, cats, boar, pulau, leopard, otters, civet, https","0.0179, 0.0179, 0.0168, 0.0147, 0.0138, 0.0095, 0.0091, 0.0080, 0.0071, 0.0071"
107,1605,107_emart_credits_credit_buy,"emart, credits, credit, buy, cash, items, mart, use, item, punggol","0.0982, 0.0598, 0.0343, 0.0277, 0.0197, 0.0164, 0.0143, 0.0106, 0.0096, 0.0093"
108,1031,108_watch_casio_watches_garmin,"watch, casio, watches, garmin, polar, fitbit, digital, alarm, cheap, wear","0.0745, 0.0361, 0.0329, 0.0201, 0.0173, 0.0162, 0.0151, 0.0126, 0.0125, 0.0103"
109,1343,109_tech_oes_auto_tracked,"tech, oes, auto, tracked, wheels, technician, wheeled, vehicles, armt, turret","0.0453, 0.0392, 0.0308, 0.0208, 0.0189, 0.0175, 0.0166, 0.0164, 0.0146, 0.0114"
110,1033,110_dxo_dxos_dx_she,"dxo, dxos, dx, she, her, uniformed, hr, mindef, dx8, work","0.0670, 0.0294, 0.0097, 0.0090, 0.0070, 0.0066, 0.0066, 0.0061, 0.0055, 0.0054"
111,1738,111_toilet_shower_toilets_clean,"toilet, shower, toilets, clean, water, cubicles, cleaning, cubicle, showers, bidet","0.0517, 0.0302, 0.0233, 0.0160, 0.0102, 0.0091, 0.0090, 0.0087, 0.0078, 0.0076"
112,1135,112_name_tag_sew_sewing,"name, tag, sew, sewing, beach, tags, road, badge, emart, nametag","0.0488, 0.0436, 0.0409, 0.0289, 0.0252, 0.0182, 0.0177, 0.0154, 0.0152, 0.0148"
113,1295,113_ncc_cca_npcc_sec,"ncc, cca, npcc, sec, school, cadet, kids, drills, secondary, ug","0.0595, 0.0203, 0.0122, 0.0084, 0.0080, 0.0077, 0.0074, 0.0067, 0.0063, 0.0062"
114,4582,114_saf_ini_we_the,"saf, ini, we, the, our, lol, of, core, is, this","0.0221, 0.0038, 0.0035, 0.0032, 0.0032, 0.0032, 0.0031, 0.0031, 0.0030, 0.0029"
115,2229,115_ups_push_ippt_sit,"ups, push, ippt, sit, pushups, machine, reps, situps, pushup, train","0.0385, 0.0344, 0.0230, 0.0210, 0.0193, 0.0158, 0.0149, 0.0122, 0.0107, 0.0083"
116,1302,116_dental_tooth_covered_wisdom,"dental, tooth, covered, wisdom, polyclinic, 11b, claim, 120, teeth, dentist","0.0988, 0.0244, 0.0228, 0.0223, 0.0219, 0.0215, 0.0207, 0.0185, 0.0183, 0.0163"
118,1294,118_cyber_cybernsf_scheme_dis,"cyber, cybernsf, scheme, dis, cybersecurity, test, security, nsf, learn, selection","0.0548, 0.0191, 0.0189, 0.0116, 0.0110, 0.0096, 0.0093, 0.0076, 0.0074, 0.0071"
119,1029,119_trans_gender_transgender_dysphoria,"trans, gender, transgender, dysphoria, female, male, hrt, woman, sex, transition","0.0483, 0.0197, 0.0186, 0.0128, 0.0119, 0.0110, 0.0108, 0.0088, 0.0088, 0.0078"
120,2221,120_run_running_4km_ippt,"run, running, 4km, ippt, pace, timing, runs, intervals, endurance, interval","0.0319, 0.0279, 0.0249, 0.0225, 0.0135, 0.0127, 0.0119, 0.0097, 0.0090, 0.0090"
121,1685,121_citizenship_pr_apply_applied,"citizenship, pr, apply, applied, application, ica, citizen, ord, rejected, ns","0.0460, 0.0160, 0.0117, 0.0109, 0.0108, 0.0097, 0.0087, 0.0077, 0.0070, 0.0067"
122,1007,122_swimming_swim_pool_swimmers,"swimming, swim, pool, swimmers, lessons, water, swimmer, cat, goggles, aqua","0.0752, 0.0742, 0.0235, 0.0215, 0.0212, 0.0172, 0.0162, 0.0142, 0.0117, 0.0113"
123,2078,123_asa_asas_combatants_sa,"asa, asas, combatants, sa, combatant, work, office, combat, do, an","0.0433, 0.0185, 0.0072, 0.0067, 0.0066, 0.0064, 0.0061, 0.0056, 0.0040, 0.0040"
124,2314,124_kranji_camp_c9_resort,"kranji, camp, c9, resort, pes, stay, e9, sch, ii, kc2","0.0500, 0.0171, 0.0094, 0.0084, 0.0082, 0.0070, 0.0063, 0.0059, 0.0059, 0.0056"
125,1198,125_smart_wear_fold_dengue,"smart, wear, fold, dengue, long, wearing, sleeve, uniform, folding, smart4","0.0579, 0.0233, 0.0227, 0.0210, 0.0190, 0.0146, 0.0122, 0.0083, 0.0082, 0.0076"
126,911,126_wallaby_australia_growl_ex,"wallaby, australia, growl, ex, exercise, hot, rockhampton, xwb, weather, aussie","0.0529, 0.0136, 0.0128, 0.0104, 0.0094, 0.0086, 0.0086, 0.0085, 0.0082, 0.0080"
129,2948,129_tekong_bro_tekan_coy,"tekong, bro, tekan, coy, spec, life, time, in, was, ferry","0.0317, 0.0049, 0.0046, 0.0043, 0.0040, 0.0038, 0.0032, 0.0032, 0.0030, 0.0029"
130,1719,130_coy_welfare_cougar_coys,"coy, welfare, cougar, coys, raven, 2nd, dragon, school, kestrel, sch","0.0624, 0.0475, 0.0172, 0.0123, 0.0102, 0.0100, 0.0093, 0.0090, 0.0076, 0.0076"
131,2254,131_victim_gt_police_victims,"victim, gt, police, victims, sexual, her, she, his, jail, court","0.0197, 0.0136, 0.0124, 0.0108, 0.0106, 0.0104, 0.0085, 0.0077, 0.0063, 0.0061"
